Date,Profession,Rank,Equipment,Insalubrity,Size_Production,Salary
2009-01-01,Metal heater,7,Heating furnaces,22,580,26020.0
2009-01-01,Metal heater,6,Heating furnaces,22,580,22980.0
2009-01-01,Metal heater,5,Heating furnaces,22,580,20350.0
2009-01-01,Metal heater,5,Heating furnaces,22,580,20350.0
2009-01-01,Metal heater,4,Heating furnaces,22,580,18090.0
2009-01-01,Metal planter,4,Heating furnaces,22,580,18090.0
2009-01-01,Refractory,4,Heating furnaces,11,580,16110.0
2009-01-01,Roller,7,Piercing mill,18,580,25300.0
2009-01-01,Roller,6,Piercing mill,18,580,22260.0
2009-01-01,Roller assistant,4,Piercing mill,18,580,17370.0
2009-01-01,Roller,7,Pilgrim mill,18,580,25300.0
2009-01-01,Roller,6,Pilgrim mill,18,580,22260.0
2009-01-01,Roller assistant,4,Pilgrim mill,18,580,17370.0
2009-01-01,Roller assistant,3,Pilgrim mill,18,580,15420.0
2009-01-01,Hot metal cutter,4,Pilgrim mill,16,580,17010.0
2009-01-01,Cleaner,3,Pilgrim mill,18,580,15420.0
2009-01-01,Roller,5,Sizing mill,18,580,19630.0
2009-01-01,Operator,5,Sizing mill,8,580,17830.0
2009-01-01,Operator,5,Sizing mill,8,580,17830.0
2009-01-01,Operator,4,Sizing mill,8,580,15570.0
2009-02-01,Metal heater,7,Heating furnaces,22,790,26020.0
2009-02-01,Metal heater,6,Heating furnaces,22,790,22980.0
2009-02-01,Metal heater,5,Heating furnaces,22,790,20350.0
2009-02-01,Metal heater,5,Heating furnaces,22,790,20350.0
2009-02-01,Metal heater,4,Heating furnaces,22,790,18090.0
2009-02-01,Metal planter,4,Heating furnaces,22,790,18090.0
2009-02-01,Refractory,4,Heating furnaces,11,790,16110.0
2009-02-01,Roller,7,Piercing mill,18,790,25300.0
2009-02-01,Roller,6,Piercing mill,18,790,22260.0
2009-02-01,Roller assistant,4,Piercing mill,18,790,17370.0
2009-02-01,Roller,7,Pilgrim mill,18,790,25300.0
2009-02-01,Roller,6,Pilgrim mill,18,790,22260.0
2009-02-01,Roller assistant,4,Pilgrim mill,18,790,17370.0
2009-02-01,Roller assistant,3,Pilgrim mill,18,790,15420.0
2009-02-01,Hot metal cutter,4,Pilgrim mill,16,790,17010.0
2009-02-01,Cleaner,3,Pilgrim mill,18,790,15420.0
2009-02-01,Roller,5,Sizing mill,18,790,19630.0
2009-02-01,Operator,5,Sizing mill,8,790,17830.0
2009-02-01,Operator,5,Sizing mill,8,790,17830.0
2009-02-01,Operator,4,Sizing mill,8,790,15570.0
2009-03-01,Metal heater,7,Heating furnaces,22,820,26020.0
2009-03-01,Metal heater,6,Heating furnaces,22,820,22980.0
2009-03-01,Metal heater,5,Heating furnaces,22,820,20350.0
2009-03-01,Metal heater,5,Heating furnaces,22,820,20350.0
2009-03-01,Metal heater,4,Heating furnaces,22,820,18090.0
2009-03-01,Metal planter,4,Heating furnaces,22,820,18090.0
2009-03-01,Refractory,4,Heating furnaces,11,820,16110.0
2009-03-01,Roller,7,Piercing mill,18,820,25300.0
2009-03-01,Roller,6,Piercing mill,18,820,22260.0
2009-03-01,Roller assistant,4,Piercing mill,18,820,17370.0
2009-03-01,Roller,7,Pilgrim mill,18,820,25300.0
2009-03-01,Roller,6,Pilgrim mill,18,820,22260.0
2009-03-01,Roller assistant,4,Pilgrim mill,18,820,17370.0
2009-03-01,Roller assistant,3,Pilgrim mill,18,820,15420.0
2009-03-01,Hot metal cutter,4,Pilgrim mill,16,820,17010.0
2009-03-01,Cleaner,3,Pilgrim mill,18,820,15420.0
2009-03-01,Roller,5,Sizing mill,18,820,19630.0
2009-03-01,Operator,5,Sizing mill,8,820,17830.0
2009-03-01,Operator,5,Sizing mill,8,820,17830.0
2009-03-01,Operator,4,Sizing mill,8,820,15570.0
2009-04-01,Metal heater,7,Heating furnaces,22,1200,30561.764705882353
2009-04-01,Metal heater,6,Heating furnaces,22,1200,26895.882352941175
2009-04-01,Metal heater,5,Heating furnaces,22,1200,23724.41176470588
2009-04-01,Metal heater,5,Heating furnaces,22,1200,23724.41176470588
2009-04-01,Metal heater,4,Heating furnaces,22,1200,20999.117647058825
2009-04-01,Metal planter,4,Heating furnaces,22,1200,20999.117647058825
2009-04-01,Refractory,4,Heating furnaces,11,1200,19019.117647058825
2009-04-01,Roller,7,Piercing mill,18,1200,29841.764705882353
2009-04-01,Roller,6,Piercing mill,18,1200,26175.882352941175
2009-04-01,Roller assistant,4,Piercing mill,18,1200,20279.117647058825
2009-04-01,Roller,7,Pilgrim mill,18,1200,29841.764705882353
2009-04-01,Roller,6,Pilgrim mill,18,1200,26175.882352941175
2009-04-01,Roller assistant,4,Pilgrim mill,18,1200,20279.117647058825
2009-04-01,Roller assistant,3,Pilgrim mill,18,1200,17927.64705882353
2009-04-01,Hot metal cutter,4,Pilgrim mill,16,1200,19919.117647058825
2009-04-01,Cleaner,3,Pilgrim mill,18,1200,17927.64705882353
2009-04-01,Roller,5,Sizing mill,18,1200,23004.41176470588
2009-04-01,Operator,5,Sizing mill,8,1200,21204.41176470588
2009-04-01,Operator,5,Sizing mill,8,1200,21204.41176470588
2009-04-01,Operator,4,Sizing mill,8,1200,18479.117647058825
2009-05-01,Metal heater,7,Heating furnaces,22,1250,31210.58823529412
2009-05-01,Metal heater,6,Heating furnaces,22,1250,27455.29411764706
2009-05-01,Metal heater,5,Heating furnaces,22,1250,24206.470588235294
2009-05-01,Metal heater,5,Heating furnaces,22,1250,24206.470588235294
2009-05-01,Metal heater,4,Heating furnaces,22,1250,21414.70588235294
2009-05-01,Metal planter,4,Heating furnaces,22,1250,21414.70588235294
2009-05-01,Refractory,4,Heating furnaces,11,1250,19434.70588235294
2009-05-01,Roller,7,Piercing mill,18,1250,30490.58823529412
2009-05-01,Roller,6,Piercing mill,18,1250,26735.29411764706
2009-05-01,Roller assistant,4,Piercing mill,18,1250,20694.70588235294
2009-05-01,Roller,7,Pilgrim mill,18,1250,30490.58823529412
2009-05-01,Roller,6,Pilgrim mill,18,1250,26735.29411764706
2009-05-01,Roller assistant,4,Pilgrim mill,18,1250,20694.70588235294
2009-05-01,Roller assistant,3,Pilgrim mill,18,1250,18285.882352941175
2009-05-01,Hot metal cutter,4,Pilgrim mill,16,1250,20334.70588235294
2009-05-01,Cleaner,3,Pilgrim mill,18,1250,18285.882352941175
2009-05-01,Roller,5,Sizing mill,18,1250,23486.470588235294
2009-05-01,Operator,5,Sizing mill,8,1250,21686.470588235294
2009-05-01,Operator,5,Sizing mill,8,1250,21686.470588235294
2009-05-01,Operator,4,Sizing mill,8,1250,18894.70588235294
2009-06-01,Metal heater,7,Heating furnaces,22,950,27317.647058823528
2009-06-01,Metal heater,6,Heating furnaces,22,950,24098.823529411766
2009-06-01,Metal heater,5,Heating furnaces,22,950,21314.117647058825
2009-06-01,Metal heater,5,Heating furnaces,22,950,21314.117647058825
2009-06-01,Metal heater,4,Heating furnaces,22,950,18921.176470588238
2009-06-01,Metal planter,4,Heating furnaces,22,950,18921.176470588238
2009-06-01,Refractory,4,Heating furnaces,11,950,16941.176470588238
2009-06-01,Roller,7,Piercing mill,18,950,26597.647058823528
2009-06-01,Roller,6,Piercing mill,18,950,23378.823529411766
2009-06-01,Roller assistant,4,Piercing mill,18,950,18201.176470588238
2009-06-01,Roller,7,Pilgrim mill,18,950,26597.647058823528
2009-06-01,Roller,6,Pilgrim mill,18,950,23378.823529411766
2009-06-01,Roller assistant,4,Pilgrim mill,18,950,18201.176470588238
2009-06-01,Roller assistant,3,Pilgrim mill,18,950,16136.470588235294
2009-06-01,Hot metal cutter,4,Pilgrim mill,16,950,17841.176470588238
2009-06-01,Cleaner,3,Pilgrim mill,18,950,16136.470588235294
2009-06-01,Roller,5,Sizing mill,18,950,20594.117647058825
2009-06-01,Operator,5,Sizing mill,8,950,18794.117647058825
2009-06-01,Operator,5,Sizing mill,8,950,18794.117647058825
2009-06-01,Operator,4,Sizing mill,8,950,16401.176470588238
2009-07-01,Metal heater,7,Heating furnaces,22,1400,33157.05882352941
2009-07-01,Metal heater,6,Heating furnaces,22,1400,29133.529411764706
2009-07-01,Metal heater,5,Heating furnaces,22,1400,25652.64705882353
2009-07-01,Metal heater,5,Heating furnaces,22,1400,25652.64705882353
2009-07-01,Metal heater,4,Heating furnaces,22,1400,22661.470588235294
2009-07-01,Metal planter,4,Heating furnaces,22,1400,22661.470588235294
2009-07-01,Refractory,4,Heating furnaces,11,1400,20681.470588235294
2009-07-01,Roller,7,Piercing mill,18,1400,32437.058823529413
2009-07-01,Roller,6,Piercing mill,18,1400,28413.529411764706
2009-07-01,Roller assistant,4,Piercing mill,18,1400,21941.470588235294
2009-07-01,Roller,7,Pilgrim mill,18,1400,32437.058823529413
2009-07-01,Roller,6,Pilgrim mill,18,1400,28413.529411764706
2009-07-01,Roller assistant,4,Pilgrim mill,18,1400,21941.470588235294
2009-07-01,Roller assistant,3,Pilgrim mill,18,1400,19360.58823529412
2009-07-01,Hot metal cutter,4,Pilgrim mill,16,1400,21581.470588235294
2009-07-01,Cleaner,3,Pilgrim mill,18,1400,19360.58823529412
2009-07-01,Roller,5,Sizing mill,18,1400,24932.64705882353
2009-07-01,Operator,5,Sizing mill,8,1400,23132.64705882353
2009-07-01,Operator,5,Sizing mill,8,1400,23132.64705882353
2009-07-01,Operator,4,Sizing mill,8,1400,20141.470588235294
2009-08-01,Metal heater,7,Heating furnaces,22,1180,30302.235294117647
2009-08-01,Metal heater,6,Heating furnaces,22,1180,26672.117647058825
2009-08-01,Metal heater,5,Heating furnaces,22,1180,23531.58823529412
2009-08-01,Metal heater,5,Heating furnaces,22,1180,23531.58823529412
2009-08-01,Metal heater,4,Heating furnaces,22,1180,20832.882352941175
2009-08-01,Metal planter,4,Heating furnaces,22,1180,20832.882352941175
2009-08-01,Refractory,4,Heating furnaces,11,1180,18852.882352941175
2009-08-01,Roller,7,Piercing mill,18,1180,29582.235294117647
2009-08-01,Roller,6,Piercing mill,18,1180,25952.117647058825
2009-08-01,Roller assistant,4,Piercing mill,18,1180,20112.882352941175
2009-08-01,Roller,7,Pilgrim mill,18,1180,29582.235294117647
2009-08-01,Roller,6,Pilgrim mill,18,1180,25952.117647058825
2009-08-01,Roller assistant,4,Pilgrim mill,18,1180,20112.882352941175
2009-08-01,Roller assistant,3,Pilgrim mill,18,1180,17784.35294117647
2009-08-01,Hot metal cutter,4,Pilgrim mill,16,1180,19752.882352941175
2009-08-01,Cleaner,3,Pilgrim mill,18,1180,17784.35294117647
2009-08-01,Roller,5,Sizing mill,18,1180,22811.58823529412
2009-08-01,Operator,5,Sizing mill,8,1180,21011.58823529412
2009-08-01,Operator,5,Sizing mill,8,1180,21011.58823529412
2009-08-01,Operator,4,Sizing mill,8,1180,18312.882352941175
2009-09-01,Metal heater,7,Heating furnaces,22,1080,29004.58823529412
2009-09-01,Metal heater,6,Heating furnaces,22,1080,25553.29411764706
2009-09-01,Metal heater,5,Heating furnaces,22,1080,22567.470588235294
2009-09-01,Metal heater,5,Heating furnaces,22,1080,22567.470588235294
2009-09-01,Metal heater,4,Heating furnaces,22,1080,20001.70588235294
2009-09-01,Metal planter,4,Heating furnaces,22,1080,20001.70588235294
2009-09-01,Refractory,4,Heating furnaces,11,1080,18021.70588235294
2009-09-01,Roller,7,Piercing mill,18,1080,28284.58823529412
2009-09-01,Roller,6,Piercing mill,18,1080,24833.29411764706
2009-09-01,Roller assistant,4,Piercing mill,18,1080,19281.70588235294
